scenario,estimator,mean_est,target,bias,rmse,mc_sd,mean_se,coverage,reject_zero,rel_bias_pct
S0 baseline (p=.70),DiD,-0.006754375829697923,-0.006866653040311208,0.00011227721061328518,0.0012147996879314739,0.001234242123965075,0.0011899494373887709,0.9575,1.0,1.6351082536739994
S0 baseline (p=.70),DiD implied p-hat,0.7048915533920956,0.7,0.004891553392095644,0.05308132975102317,0.05292165935248712,0.05206121478973395,0.9575,1.0,0.6987933417279492
S0 baseline (p=.70),Path a (pooled),0.2992696734621401,0.30000000000000004,-0.0007303265378599371,0.009315886579361155,0.009298846017154236,0.009266941950153774,0.955,1.0,-0.2434421792866457
S0 baseline (p=.70),Indirect a*b (pooled),-0.005992417782453142,-0.006000000000000001,7.582217546859315e-06,0.0003229332181885623,0.00032324850715841514,0.0003164879861436217,0.9475,1.0,0.1263702924476552
S0 baseline (p=.70),Direct c' (pooled),3.107314499441752e-05,0.0,3.107314499441752e-05,0.00042953536433448694,0.00042894647284425863,0.0003951111858386345,0.9325,0.0675,
S0 baseline (p=.70),Indirect a*b (FE),-0.005981463996054783,-0.006000000000000001,1.8536003945217393e-05,0.00025199165022142945,0.0002516237162421318,0.00025125282837019805,0.9525,1.0,0.3089333990869565
S0 baseline (p=.70),Direct c' (FE),9.704524349668388e-06,0.0,9.704524349668388e-06,0.0002919103763228457,0.00029211439035886085,0.00029257930975648544,0.955,0.045,
S0 baseline (p=.70),IV 2SLS,-0.025295846340811567,-0.025002781750359495,-0.00029306459045207005,0.015164010857199295,0.015181252653617342,0.016330683512160365,0.9725,0.3575,-1.1721279391156398
S0 baseline (p=.70),IV naive OLS,-0.025479135960149522,-0.025002781750359495,-0.0004763542097900274,0.0021796491906939633,0.0021328070549767445,0.00206409337090948,0.9275,1.0,-1.9052048469893885
S1 true p=.50,DiD,-0.011536572296982293,-0.011401564120649584,-0.00013500817633271025,0.0012501181321941208,0.0013082069320404922,0.001260620751443803,0.965,1.0,-1.1841197830760295
S1 true p=.50,DiD implied p-hat,0.4940857279239044,0.5,-0.0059142720760955525,0.05501922235931868,0.05476892643727647,0.055348601147651194,0.965,1.0,-1.1828544152191105
S1 true p=.50,Path a (pooled),0.500830037905018,0.5,0.0008300379050179656,0.00972786750475153,0.009704529251138334,0.010114479799572697,0.9575,1.0,0.1660075810035931
S1 true p=.50,Indirect a*b (pooled),-0.010043190942581097,-0.01,-4.3190942581096906e-05,0.0004368906174756753,0.00043529490953018345,0.00044122061856237166,0.96,1.0,-0.431909425810969
S1 true p=.50,Direct c' (pooled),2.5012462252030355e-05,0.0,2.5012462252030355e-05,0.0005113006461468378,0.0005113280438263413,0.0004933818337714762,0.945,0.055,
S1 true p=.50,Indirect a*b (FE),-0.010018777346632006,-0.01,-1.8777346632006545e-05,0.0003443148613633239,0.0003442330256511987,0.0003464403407066715,0.9475,1.0,-0.18777346632006545
S1 true p=.50,Direct c' (FE),-1.6702890518663276e-05,0.0,-1.6702890518663276e-05,0.00038286264544513075,0.00038297715006151286,0.0003715013474881722,0.9375,0.0625,
S1 true p=.50,IV 2SLS,-0.041764255252668636,-0.041665715732767124,-9.853951990151627e-05,0.01714161258817154,0.017160569924567767,0.016673790509014873,0.9475,0.7275,-0.2365002452700505
S1 true p=.50,IV naive OLS,-0.04285661356644639,-0.041665715732767124,-0.0011908978336792678,0.0024608573930226633,0.002154639695107351,0.002110155876811991,0.915,1.0,-2.8582200323099483
S2 true p=.90,DiD,-0.0022934605629296254,-0.002279593153840959,-1.3867409088666616e-05,0.000992490560017012,0.000995374968874844,0.001072960780599217,0.9475,0.5625,-0.6083282477533756
S2 true p=.90,DiD implied p-hat,0.8993553866811663,0.9,-0.0006446133188336367,0.04383685793846837,0.04388701131304815,0.047127151047833216,0.9475,1.0,-0.07162370209262629
S2 true p=.90,Path a (pooled),0.09983053673334817,0.09999999999999998,-0.00016946326665180693,0.006186237794679613,0.006191660674516088,0.006054510896069489,0.935,1.0,-0.16946326665180697
S2 true p=.90,Indirect a*b (pooled),-0.001993486598758097,-0.0019999999999999996,6.5134012419024415e-06,0.00018460402532288498,0.00018472012771659038,0.00017740678261268363,0.94,1.0,0.32567006209512217
S2 true p=.90,Direct c' (pooled),-3.607489079927653e-06,0.0,-3.607489079927653e-06,0.00033306628095780723,0.0003334638344044862,0.0003280280392197195,0.9425,0.0575,
S2 true p=.90,Indirect a*b (FE),-0.0019965293697341998,-0.0019999999999999996,3.4706302657997684e-06,0.00013690361174857867,0.00013703100882213017,0.0001434712502142303,0.9575,1.0,0.17353151328998845
S2 true p=.90,Direct c' (FE),6.3347747588263976e-06,0.0,6.3347747588263976e-06,0.00023281091344562525,0.0002330161654941464,0.00023906153046865028,0.96,0.04,
S2 true p=.90,IV 2SLS,-0.008059072596881016,-0.008334508634895267,0.0002754360380142524,0.015633389423300687,0.01565114532092494,0.01584296236145847,0.9575,0.07,3.3047663645226226
S2 true p=.90,IV naive OLS,-0.008523452940614825,-0.008334508634895267,-0.00018894430571955682,0.001916669981023249,0.0019080691669697224,0.0019423916536560673,0.96,0.9925,-2.2670119379140954
S3 pre-trend d=-.002,DiD,-0.012301486901151985,-0.006849431174071229,-0.005452055727080757,0.005566369560487047,0.0011533529822209028,0.0011876918376698574,0.0025,1.0,-79.59866430543477
S3 pre-trend d=-.002,DiD implied p-hat,0.4609478916362784,0.7,-0.23905210836372148,0.2441624374586592,0.04975514333547885,0.05208265709284146,0.0025,1.0,-34.15030119481736
S3 pre-trend d=-.002,Path a (pooled),0.2993096424665584,0.30000000000000004,-0.0006903575334416377,0.0092498697134567,0.009235623316107923,0.009283368917403707,0.9475,1.0,-0.2301191778138792
S3 pre-trend d=-.002,Indirect a*b (pooled),-0.005982297443041609,-0.006000000000000001,1.77025569583924e-05,0.0003325409785997215,0.0003324853201955827,0.00031672308022356746,0.9325,1.0,0.29504261597320663
S3 pre-trend d=-.002,Direct c' (pooled),-0.001497169083419239,0.0,-0.001497169083419239,0.0015496628185164753,0.00040042532117814977,0.00039723731693315435,0.0325,0.9675,
