scenario,alert_rate,share_treated,effective_p
S0 baseline (p=.70),0.4298219436983985,0.2268,0.7104853764779091
S1 true p=.50,0.4277445109780439,0.2372,0.500078015290997
S2 true p=.90,0.42814281428142814,0.2276,0.8960735431598629
S3 pre-trend d=-.002,0.4286571342865713,0.2188,0.6959145775301764
S4 pre-trend d=-.005,0.41908381676335266,0.2116,0.6965615591823799
S5 fatigue k=.15,0.4268414731785428,0.2256,0.5795047500389348
S6 fatigue k=.30,0.4276585122316525,0.2228,0.504031007751938
S7 unobs. confounder,0.4366448542534206,0.2384,0.6863468634686347
S8 IV exclusion violated,0.428042063094642,0.2268,0.6950321266259207
S9 drift decay .1 (hypothesis),0.4229016907968006,0.2184,0.7038545910372924
